year,session_key,circuit_key,location,session_type
2025,9693,10,Melbourne,Race
2025,9993,49,Shanghai,Race
2025,9998,49,Shanghai,Race
2025,10006,46,Suzuka,Race
2025,10014,63,Sakhir,Race
2025,10022,149,Jeddah,Race
2025,10028,151,Miami,Race
2025,10033,151,Miami,Race
2025,9987,6,Imola,Race
2025,9979,22,Monaco,Race
2025,9971,15,Barcelona,Race
2025,9963,23,Montréal,Race
2025,9955,19,Spielberg,Race
2025,9947,2,Silverstone,Race
2025,9689,10,Melbourne,Qualifying
2025,9989,49,Shanghai,Qualifying
2025,9994,49,Shanghai,Qualifying
2025,10002,46,Suzuka,Qualifying
2025,10010,63,Sakhir,Qualifying
2025,10018,149,Jeddah,Qualifying
2025,10024,151,Miami,Qualifying
2025,10029,151,Miami,Qualifying
2025,9983,6,Imola,Qualifying
2025,9975,22,Monaco,Qualifying
2025,9967,15,Barcelona,Qualifying
2025,9959,23,Montréal,Qualifying
2025,9951,19,Spielberg,Qualifying
2025,9943,2,Silverstone,Qualifying
2024,9472,63,Sakhir,Race
2024,9480,149,Jeddah,Race
2024,9488,10,Melbourne,Race
2024,9496,46,Suzuka,Race
2024,9672,49,Shanghai,Race
2024,9673,49,Shanghai,Race
2024,9506,151,Miami,Race
2024,9507,151,Miami,Race
2024,9515,6,Imola,Race
2024,9523,22,Monaco,Race
2024,9531,23,Montréal,Race
2024,9539,15,Barcelona,Race
2024,9549,19,Spielberg,Race
2024,9550,19,Spielberg,Race
2024,9558,2,Silverstone,Race
2024,9566,4,Budapest,Race
2024,9574,7,Spa-Francorchamps,Race
2024,9582,55,Zandvoort,Race
2024,9590,39,Monza,Race
2024,9598,144,Baku,Race
2024,9606,61,Marina Bay,Race
2024,9616,9,Austin,Race
2024,9617,9,Austin,Race
2024,9625,65,Mexico City,Race
2024,9635,14,São Paulo,Race
2024,9636,14,São Paulo,Race
2024,9644,152,Las Vegas,Race
2024,9654,150,Lusail,Race
2024,9655,150,Lusail,Race
2024,9662,70,Yas Island,Race
2024,9468,63,Sakhir,Qualifying
2024,9476,149,Jeddah,Qualifying
2024,9484,10,Melbourne,Qualifying
2024,9492,46,Suzuka,Qualifying
2024,9668,49,Shanghai,Qualifying
2024,9664,49,Shanghai,Qualifying
2024,9502,151,Miami,Qualifying
2024,9498,151,Miami,Qualifying
2024,9511,6,Imola,Qualifying
2024,9519,22,Monaco,Qualifying
2024,9527,23,Montréal,Qualifying
2024,9535,15,Barcelona,Qualifying
2024,9545,19,Spielberg,Qualifying
2024,9541,19,Spielberg,Qualifying
2024,9554,2,Silverstone,Qualifying
2024,9562,4,Budapest,Qualifying
2024,9570,7,Spa-Francorchamps,Qualifying
2024,9578,55,Zandvoort,Qualifying
2024,9586,39,Monza,Qualifying
2024,9594,144,Baku,Qualifying
2024,9602,61,Marina Bay,Qualifying
2024,9612,9,Austin,Qualifying
2024,9608,9,Austin,Qualifying
2024,9621,65,Mexico City,Qualifying
2024,9631,14,São Paulo,Qualifying
2024,9627,14,São Paulo,Qualifying
2024,9640,152,Las Vegas,Qualifying
2024,9650,150,Lusail,Qualifying
2024,9646,150,Lusail,Qualifying
2024,9658,70,Yas Island,Qualifying
2023,7953,63,Sakhir,Race
2023,7779,149,Jeddah,Race
2023,7787,10,Melbourne,Race
2023,9069,144,Baku,Race
2023,9070,144,Baku,Race
2023,9078,151,Miami,Race
2023,9094,22,Monaco,Race
2023,9102,15,Barcelona,Race
2023,9110,23,Montréal,Race
2023,9117,19,Spielberg,Race
2023,9118,19,Spielberg,Race
2023,9126,2,Silverstone,Race
2023,9133,4,Budapest,Race
2023,9140,7,Spa-Francorchamps,Race
2023,9141,7,Spa-Francorchamps,Race
2023,9149,55,Zandvoort,Race
2023,9157,39,Monza,Race
2023,9165,61,Marina Bay,Race
2023,9173,46,Suzuka,Race
2023,9220,150,Lusail,Race
2023,9221,150,Lusail,Race
2023,9212,9,Austin,Race
2023,9213,9,Austin,Race
2023,9181,65,Mexico City,Race
2023,9204,14,São Paulo,Race
2023,9205,14,São Paulo,Race
2023,9189,152,Las Vegas,Race
2023,9197,70,Yas Island,Race
2023,7768,63,Sakhir,Qualifying
2023,7775,149,Jeddah,Qualifying
2023,7783,10,Melbourne,Qualifying
2023,9064,144,Baku,Qualifying
2023,9278,144,Baku,Qualifying
2023,9074,151,Miami,Qualifying
2023,9090,22,Monaco,Qualifying
2023,9098,15,Barcelona,Qualifying
2023,9106,23,Montréal,Qualifying
2023,9112,19,Spielberg,Qualifying
2023,9282,19,Spielberg,Qualifying
2023,9122,2,Silverstone,Qualifying
2023,9129,4,Budapest,Qualifying
2023,9135,7,Spa-Francorchamps,Qualifying
2023,9286,7,Spa-Francorchamps,Qualifying
2023,9145,55,Zandvoort,Qualifying
2023,9153,39,Monza,Qualifying
2023,9161,61,Marina Bay,Qualifying
2023,9169,46,Suzuka,Qualifying
2023,9215,150,Lusail,Qualifying
2023,9298,150,Lusail,Qualifying
2023,9207,9,Austin,Qualifying
2023,9294,9,Austin,Qualifying
2023,9177,65,Mexico City,Qualifying
2023,9304,14,São Paulo,Qualifying
2023,9308,14,São Paulo,Qualifying
2023,9314,152,Las Vegas,Qualifying
2023,9193,70,Yas Island,Qualifying
